feature,importance
Length_of_Stay,0.21642735958279588
US_Number,0.09210834476547419
Peritonitis_no,0.08701816973268463
CRP,0.04874085753700445
Peritonitis_local,0.04730210766063685
Appendix_Diameter,0.04496070493943721
WBC_Count,0.04293478148521016
Neutrophil_Percentage,0.03600934085671911
Alvarado_Score,0.02739235233829851
Body_Temperature,0.027341778818510666
Age,0.022514499488055124
Weight,0.021464929739893845
BMI,0.020395834302643266
Hemoglobin,0.016826967146598266
Height,0.01640030644325611
RBC_Count,0.016054865286667715
RDW,0.015727663953744572
Thrombocyte_Count,0.015180583698063561
Appendix_Wall_Layers_intact,0.014967353605631948
Paedriatic_Appendicitis_Score,0.013391763537019678
Appendix_Wall_Layers_raised,0.011457588977847443
Loss_of_Appetite,0.009314665939476512
Free_Fluids,0.008499915949156773
Neutrophilia,0.007396992763743253
Contralateral_Rebound_Tenderness,0.006429679060691418
Appendicolith_yes,0.006041503337073958
Ileus,0.006021056448328779
Coprostasis,0.005689765719487055
Perforation_yes,0.0051009437081122365
US_Performed,0.005059580422426106
Peritonitis_generalized,0.005038188928475164
Appendix_on_US,0.003792798741294806
Perfusion_hypoperfused,0.0036532480628213553
Nausea,0.003556923682348315
Psoas_Sign,0.0034850512981372994
Ketones_in_Urine_no,0.0033170605739050625
Segmented_Neutrophils,0.003128219836683218
Appendicular_Abscess_no,0.0029807233069014134
Sex,0.0029713046477563947
Appendicular_Abscess_yes,0.0028304659325025265
Migratory_Pain,0.002815385432970849
Stool_normal,0.0028143639515319997
Stool_diarrhea,0.0026672484648531327
Appendicolith_no,0.0024759204209359813
Ketones_in_Urine_+,0.002475854149136362
Coughing_Pain,0.0024633602376922135
Stool_constipation,0.002389750410846862
RBC_in_Urine_no,0.0023247929945445123
Ketones_in_Urine_+++,0.0022067007058209852
Perforation_no,0.002007705903096077
Target_Sign,0.0018717593933863228
Ketones_in_Urine_++,0.001738836107316255
Perforation_not excluded,0.0017090503650112096
Perfusion_hyperperfused,0.0017067649072805208
RBC_in_Urine_+,0.0017038353487740096
Meteorism,0.0016863950320137675
Dysuria,0.0014466780257688713
Conglomerate_of_Bowel_Loops,0.0013765486426313325
Perfusion_no,0.0013113174711637588
RBC_in_Urine_+++,0.0013042815783660046
Lower_Right_Abd_Pain,0.0012376250290118459
Enteritis,0.0011692830318714169
WBC_in_Urine_+,0.0011078162484411778
Appendix_Wall_Layers_partially raised,0.0009832887597723957
Surrounding_Tissue_Reaction,0.0008396052376315577
Ipsilateral_Rebound_Tenderness,0.0008137359001499114
WBC_in_Urine_+++,0.000807012831937389
Bowel_Wall_Thickening,0.0007548950534676384
WBC_in_Urine_no,0.0007360983316164793
WBC_in_Urine_++,0.0006958541019849256
Pathological_Lymph_Nodes,0.0006811536876350795
RBC_in_Urine_++,0.0003561935779445196
Appendicolith_suspected,0.00018083978264415746
Perfusion_present,0.00012575848243327723
Appendicular_Abscess_suspected,4.627175828112323e-05
Perforation_suspected,4.1776386521274244e-05
"Stool_constipation, diarrhea",0.0
Appendix_Wall_Layers_upset,0.0
