feature,importance
Appendix_Diameter,0.16135574728159738
US_Number,0.09428419114197541
Length_of_Stay,0.08866171756156721
Appendix_on_US,0.07249418164006008
WBC_Count,0.05269568622888806
CRP,0.04506597603613366
Alvarado_Score,0.037531511883268615
Neutrophil_Percentage,0.03640124894725876
Peritonitis_no,0.030928131776586616
BMI,0.025270995301647038
Paedriatic_Appendicitis_Score,0.024353792873887076
Body_Temperature,0.02415801241346812
Age,0.023405332389617898
RBC_Count,0.022364774402299926
Height,0.021739885658295308
Thrombocyte_Count,0.021471282552277007
Weight,0.02122705938917534
RDW,0.018417299567195088
Hemoglobin,0.017988494587688298
Peritonitis_local,0.012598857879174896
Appendix_Wall_Layers_intact,0.008517320311846927
Loss_of_Appetite,0.008290864449304595
Neutrophilia,0.007935024862687672
Free_Fluids,0.007307125586931994
Nausea,0.006406537794006905
Appendix_Wall_Layers_raised,0.006021027781825588
Contralateral_Rebound_Tenderness,0.005894407771105851
Sex,0.004675127900387241
Psoas_Sign,0.0042752539297326
Migratory_Pain,0.004235783512202052
RBC_in_Urine_no,0.004069636714831926
Appendicolith_no,0.003964418506005407
Perfusion_hyperperfused,0.003918014443048152
Coughing_Pain,0.0037639307924445327
Stool_normal,0.0037093343076663125
Ketones_in_Urine_no,0.00367349776310991
Segmented_Neutrophils,0.003429822149745217
Stool_diarrhea,0.00296839252626389
US_Performed,0.0029035571910194574
Ileus,0.002871575029624984
Perforation_yes,0.002869567594780812
Ipsilateral_Rebound_Tenderness,0.0026350729442755293
Ketones_in_Urine_+++,0.002524092288485741
RBC_in_Urine_+,0.0024495259937370862
Stool_constipation,0.0024466127712416083
Surrounding_Tissue_Reaction,0.002404021409996554
Dysuria,0.002258711627641316
Peritonitis_generalized,0.0022459513830521446
Ketones_in_Urine_++,0.0022028746081733516
Bowel_Wall_Thickening,0.0021291491057534332
WBC_in_Urine_no,0.00205250415823757
Appendicular_Abscess_yes,0.0019701029578741117
Coprostasis,0.0017796649378074457
Ketones_in_Urine_+,0.0017616772309068454
Appendicular_Abscess_no,0.0017175586438856025
WBC_in_Urine_+,0.0015996488832065925
Appendicolith_yes,0.0015718294034494842
Target_Sign,0.00151772462129814
Conglomerate_of_Bowel_Loops,0.0013812749921406032
RBC_in_Urine_+++,0.00130572754297647
Lower_Right_Abd_Pain,0.0012563582892560655
Perforation_no,0.0010192127973679085
WBC_in_Urine_++,0.0009532630612511348
Pathological_Lymph_Nodes,0.000881973496884211
RBC_in_Urine_++,0.0008243785572971975
Perfusion_hypoperfused,0.0007918102757635791
WBC_in_Urine_+++,0.0007142459585776113
Perforation_not excluded,0.0005523440804919308
Enteritis,0.00035072655352741253
Appendix_Wall_Layers_partially raised,0.00018986585358704667
Perforation_suspected,0.00016534517481338828
Meteorism,0.00010880778925266976
Appendicolith_suspected,7.473082399715172e-05
Appendix_Wall_Layers_upset,4.881135315917924e-05
Appendicular_Abscess_suspected,0.0
Perfusion_present,0.0
"Stool_constipation, diarrhea",0.0
Perfusion_no,0.0
